Year,TotalBudget,TotalHomicides,CureViolencefunding
1995,821,828,0
1996,840,796,0
1997,840,761,0
1998,912,704,0
1999,929,643,0
2000,915,633,240000
2001,940,667,240000
2002,1014,656,720000
2003,1074,601,720000
2004,1073,453,100000
2005,1066,602,240000
2006,1217,471,189000
2007,1247,448,189000
2008,1217,513,240000
2009,1234,459,189000
2010,1242,436,240000
